fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;color;quality
7.8;0.5;0.3;1.9;E;8.0;22.0;0.9959;?;medium;10.4;red;6
8.1;0.545;0.18;1.9;E;13.0;35.0;0.9972;3.3;medium;9.0;red;6
8.1;0.575;0.22;2.1;D;12.0;65.0;0.9967;3.29;medium;9.2;red;5
7.2;0.49;0.24;2.2;B;5.0;36.0;0.996;3.33;medium;9.4;red;5
8.1;0.575;0.22;2.1;D;12.0;65.0;0.9967;3.29;medium;9.2;red;5
7.8;0.41;0.68;1.7;C;18.0;69.0;0.9973;3.08;high;9.3;red;5
6.2;0.63;0.31;1.7;C;15.0;64.0;0.9969;3.46;high;9.3;red;5
8.0;0.33;0.53;2.5;C;18.0;80.0;0.9976;3.37;high;9.6;red;6
8.1;0.785;0.52;2.0;C;37.0;153.0;0.9969;?;high;9.3;red;5
7.8;0.56;0.19;1.8;C;12.0;47.0;0.9964;3.19;high;9.5;red;5
8.4;0.62;0.09;2.2;C;11.0;108.0;0.9964;3.15;high;9.8;red;5
8.4;0.6;0.1;2.2;C;14.0;111.0;0.9964;3.15;high;9.8;red;5
10.1;0.31;0.44;2.3;C;22.0;46.0;0.9988;3.32;high;9.7;red;6
7.8;0.56;0.19;1.8;C;12.0;47.0;0.9964;3.19;high;9.5;red;5
9.4;0.4;0.31;2.2;E;13.0;62.0;0.9966;3.07;high;10.5;red;6
8.3;0.54;0.28;1.9;E;11.0;40.0;0.9978;3.39;high;10.0;red;6
7.8;0.56;0.12;2.0;D;7.0;28.0;0.997;3.37;medium;9.4;red;6
8.8;0.55;0.04;2.2;E;14.0;56.0;0.9962;3.21;medium;10.9;red;6
7.0;0.69;0.08;1.8;D;22.0;89.0;0.9959;3.34;medium;9.2;red;6
7.3;1.07;0.09;1.7;E;10.0;89.0;0.9962;3.3;medium;9.0;red;5
8.8;0.55;0.04;2.2;E;14.0;56.0;0.9962;3.21;medium;10.9;red;6
7.3;0.695;0.0;2.5;D;3.0;13.0;0.998;3.49;medium;9.2;red;5
8.0;0.71;0.0;2.6;D;11.0;34.0;0.9976;3.44;medium;9.5;red;5
7.8;0.5;0.17;1.6;B;21.0;102.0;0.996;3.39;medium;9.5;red;5
9.0;0.62;0.04;1.9;C;27.0;90.0;0.9984;3.16;high;9.4;red;5
8.2;1.33;0.0;1.7;D;3.0;12.0;0.9964;3.53;medium;10.9;red;5
8.1;1.33;0.0;1.8;B;3.0;12.0;0.9964;3.54;medium;10.9;red;5
8.0;0.59;0.16;1.8;C;3.0;16.0;0.9962;3.42;high;10.5;red;7
6.1;0.38;0.15;1.8;E;6.0;19.0;0.9955;3.42;medium;9.4;red;5
8.0;0.745;0.56;2.0;C;30.0;134.0;0.9968;?;high;9.4;red;5
5.6;0.5;0.09;2.3;E;17.0;99.0;0.9937;3.63;high;13.0;red;5
5.6;0.5;0.09;2.3;E;17.0;99.0;0.9937;?;high;13.0;red;5
6.6;0.5;0.01;1.5;E;17.0;26.0;0.9952;3.4;medium;9.8;?;6
7.9;1.04;0.05;2.2;E;13.0;29.0;0.9959;3.22;medium;9.9;red;6
8.4;0.745;0.11;1.9;C;16.0;63.0;0.9965;3.19;high;9.6;red;5
8.3;0.715;0.15;1.8;C;10.0;52.0;0.9968;?;high;9.5;red;5
7.2;0.415;0.36;2.0;C;13.0;45.0;0.9972;3.48;high;9.2;?;5
7.8;0.56;0.19;2.1;D;15.0;105.0;0.9962;?;medium;9.5;red;5
7.8;0.56;0.19;2.0;D;17.0;108.0;0.9962;?;medium;9.5;red;5
8.4;0.745;0.11;1.9;C;16.0;63.0;0.9965;3.19;high;9.6;red;5
8.3;0.715;0.15;1.8;C;10.0;52.0;0.9968;3.23;high;9.5;red;5
5.2;0.34;0.0;1.8;C;27.0;63.0;0.9916;3.68;high;14.0;red;6
6.3;0.39;0.08;1.7;E;3.0;20.0;0.9954;3.34;medium;9.4;red;5
5.2;0.34;0.0;1.8;C;27.0;63.0;0.9916;3.68;high;14.0;red;6
8.1;0.67;0.55;1.8;E;32.0;141.0;0.9968;3.17;high;9.4;red;5
5.8;0.68;0.02;1.8;D;21.0;94.0;0.9944;3.54;medium;10.0;?;5
7.6;0.49;0.26;1.6;C;10.0;88.0;0.9968;3.11;high;9.3;red;5
6.9;0.49;0.1;2.3;E;12.0;30.0;0.9959;3.42;medium;10.2;red;6
8.2;0.4;0.44;2.8;E;11.0;43.0;0.9975;3.53;high;10.5;red;6
7.3;0.33;0.47;2.1;D;5.0;11.0;0.9958;?;medium;10.3;red;6
9.2;0.52;1.0;3.4;C;32.0;69.0;0.9996;2.74;high;9.4;?;4
7.5;0.6;0.03;1.8;D;25.0;99.0;0.995;3.35;medium;10.1;red;5
7.5;0.6;0.03;1.8;D;25.0;99.0;0.995;3.35;medium;10.1;red;5
7.1;0.43;0.42;5.5;C;29.0;129.0;0.9973;3.42;high;10.5;red;5
7.1;0.43;0.42;5.5;C;28.0;128.0;0.9973;3.42;high;10.5;red;5
7.1;0.43;0.42;5.5;C;29.0;129.0;0.9973;3.42;high;10.5;red;5
7.1;0.43;0.42;5.5;C;28.0;128.0;0.9973;3.42;high;10.5;?;5
7.1;0.68;0.0;2.2;D;12.0;22.0;0.9969;3.48;medium;9.3;red;5
6.8;0.6;0.18;1.9;E;18.0;86.0;0.9968;3.59;medium;9.3;red;6
7.6;0.95;0.03;2.0;E;7.0;20.0;0.9959;3.2;medium;9.6;?;5
7.6;0.68;0.02;1.3;C;9.0;20.0;0.9965;3.17;high;9.2;red;4
7.8;0.53;0.04;1.7;E;17.0;31.0;0.9964;3.33;medium;10.0;red;6
7.4;0.6;0.26;7.3;D;36.0;121.0;0.9982;3.37;medium;9.4;?;5
7.3;0.59;0.26;7.2;D;35.0;121.0;0.9981;3.37;medium;9.4;red;5
7.8;0.63;0.48;1.7;E;14.0;96.0;0.9961;3.19;high;9.5;?;5
6.8;0.64;0.1;2.1;D;18.0;101.0;0.9956;3.34;medium;10.2;red;5
7.3;0.55;0.03;1.6;B;17.0;42.0;0.9956;3.37;medium;9.0;red;4
6.8;0.63;0.07;2.1;E;11.0;44.0;0.9953;3.47;medium;10.4;red;6
7.5;0.705;0.24;1.8;C;15.0;63.0;0.9964;3.0;high;9.5;red;5
7.9;0.885;0.03;1.8;A;4.0;8.0;0.9972;3.36;low;9.1;red;4
8.0;0.42;0.17;2.0;E;6.0;18.0;0.9972;?;high;9.2;red;6
8.0;0.42;0.17;2.0;E;6.0;18.0;0.9972;3.29;high;9.2;red;6
7.4;0.62;0.05;1.9;E;24.0;42.0;0.9961;3.42;medium;11.5;red;6
7.3;0.38;0.21;2.0;B;7.0;35.0;0.9961;3.33;medium;9.5;?;5
6.9;0.5;0.04;1.5;C;19.0;49.0;0.9958;3.35;high;9.5;?;5
7.3;0.38;0.21;2.0;B;7.0;35.0;0.9961;3.33;medium;9.5;red;5
7.5;0.52;0.42;2.3;E;8.0;38.0;0.9972;3.58;high;10.5;red;6
7.0;0.805;0.0;2.5;E;7.0;20.0;0.9969;3.48;medium;9.6;?;5
8.8;0.61;0.14;2.4;E;10.0;42.0;0.9969;3.19;medium;9.5;?;5
8.8;0.61;0.14;2.4;E;10.0;42.0;0.9969;3.19;medium;9.5;red;5
8.9;0.61;0.49;2.0;C;23.0;110.0;0.9972;3.12;high;9.3;red;5
7.2;0.73;0.02;2.5;D;16.0;42.0;0.9972;3.44;medium;9.3;red;5
6.8;0.61;0.2;1.8;E;11.0;65.0;0.9971;3.54;medium;9.3;?;5
6.7;0.62;0.21;1.9;E;8.0;62.0;0.997;3.52;medium;9.3;?;6
8.9;0.31;0.57;2.0;D;26.0;85.0;0.9971;3.26;medium;9.7;red;5
7.4;0.39;0.48;2.0;E;14.0;67.0;0.9972;3.34;medium;9.2;red;5
7.7;0.705;0.1;2.6;D;9.0;26.0;0.9976;3.39;medium;9.7;?;5
7.9;0.5;0.33;2.0;E;15.0;143.0;0.9968;3.2;medium;9.5;red;5
7.9;0.49;0.32;1.9;E;17.0;144.0;0.9968;3.2;medium;9.5;?;5
8.2;0.5;0.35;2.9;E;21.0;127.0;0.9976;3.23;high;9.4;red;5
6.4;0.37;0.25;1.9;E;21.0;49.0;0.9974;3.57;high;9.8;red;6
6.8;0.63;0.12;3.8;E;16.0;126.0;0.9969;3.28;high;9.5;red;5
7.6;0.55;0.21;2.2;E;7.0;28.0;0.9964;?;medium;9.7;red;5
7.6;0.55;0.21;2.2;E;7.0;28.0;0.9964;3.28;medium;9.7;red;5
7.8;0.59;0.33;2.0;D;24.0;120.0;0.9968;3.25;medium;9.4;red;5
7.3;0.58;0.3;2.4;E;15.0;55.0;0.9968;3.46;medium;10.2;red;5
11.5;0.3;0.6;2.0;C;12.0;27.0;0.9981;3.11;high;10.1;?;6
5.4;0.835;0.08;1.2;C;13.0;93.0;0.9924;3.57;high;13.0;red;7
6.9;1.09;0.06;2.1;B;12.0;31.0;0.9948;3.51;medium;11.4;red;4
9.6;0.32;0.47;1.4;C;9.0;24.0;0.99695;3.22;high;10.3;red;7
8.8;0.37;0.48;2.1;C;39.0;145.0;0.9975;3.04;high;9.3;red;5
6.8;0.5;0.11;1.5;C;16.0;49.0;0.99545;3.36;high;9.5;?;5
7.0;0.42;0.35;1.6;E;16.0;39.0;0.9961;3.34;medium;9.2;red;5
7.0;0.43;0.36;1.6;E;14.0;37.0;0.99615;?;medium;9.2;red;6
12.8;0.3;0.74;2.6;C;9.0;28.0;0.9994;3.2;high;10.8;red;7
12.8;0.3;0.74;2.6;C;9.0;28.0;0.9994;3.2;high;10.8;red;7
7.8;0.57;0.31;1.8;D;26.0;120.0;0.99625;3.29;medium;9.3;red;5
7.8;0.44;0.28;2.7;C;18.0;95.0;0.9966;3.22;high;9.4;red;5
11.0;0.3;0.58;2.1;C;7.0;19.0;0.998;3.31;high;10.5;red;7
9.7;0.53;0.6;2.0;C;5.0;19.0;0.99585;3.3;high;12.4;red;6
8.0;0.725;0.24;2.8;E;10.0;62.0;0.99685;3.35;medium;10.0;red;6
11.6;0.44;0.64;2.1;C;5.0;15.0;0.998;3.21;high;10.2;red;6
8.2;0.57;0.26;2.2;B;28.0;65.0;0.9959;3.3;medium;10.1;red;5
7.8;0.735;0.08;2.4;C;10.0;41.0;0.9974;3.24;high;9.8;red;6
7.0;0.49;0.49;5.6;C;26.0;121.0;0.9974;3.34;high;10.5;?;5
8.7;0.625;0.16;2.0;E;13.0;49.0;0.9962;3.14;medium;11.0;red;5
8.1;0.725;0.22;2.2;E;11.0;41.0;0.9967;3.36;medium;9.1;?;5
7.5;0.49;0.19;1.9;D;10.0;44.0;0.9957;3.39;medium;9.7;red;5
7.8;0.53;0.33;2.4;E;24.0;144.0;0.99655;3.3;medium;9.5;red;5
7.8;0.34;0.37;2.0;E;24.0;58.0;0.9964;3.34;medium;9.4;red;6
7.4;0.53;0.26;2.0;E;16.0;72.0;0.9957;3.15;medium;9.4;red;5
6.8;0.61;0.04;1.5;E;5.0;10.0;0.99525;3.42;medium;9.5;red;5
8.6;0.645;0.25;2.0;E;8.0;28.0;0.99815;3.28;medium;10.0;red;6
8.4;0.635;0.36;2.0;E;15.0;55.0;0.99745;3.31;medium;10.4;red;4
7.7;0.43;0.25;2.6;E;29.0;63.0;0.99615;?;medium;10.5;red;6
8.9;0.59;0.5;2.0;C;27.0;81.0;0.9964;3.04;high;9.5;red;6
9.0;0.82;0.14;2.6;E;9.0;23.0;0.9984;3.39;high;9.8;?;5
7.7;0.43;0.25;2.6;E;29.0;63.0;0.99615;?;medium;10.5;red;6
6.9;0.52;0.25;2.6;D;10.0;37.0;0.99685;3.46;medium;11.0;red;5
5.2;0.48;0.04;1.6;E;19.0;106.0;0.9927;3.54;high;12.2;red;7
8.0;0.38;0.06;1.8;D;12.0;49.0;0.99625;3.37;medium;9.9;red;6
8.5;0.37;0.2;2.8;C;18.0;58.0;0.998;3.34;high;9.6;red;6
6.9;0.52;0.25;2.6;D;10.0;37.0;0.99685;3.46;medium;11.0;red;5
8.2;1.0;0.09;2.3;E;7.0;37.0;0.99685;3.32;medium;9.0;red;6
7.2;0.63;0.0;1.9;E;14.0;38.0;0.99675;3.37;medium;9.0;red;6
7.2;0.63;0.0;1.9;E;14.0;38.0;0.99675;3.37;medium;9.0;red;6
7.2;0.645;0.0;1.9;E;15.0;39.0;0.99675;3.37;medium;9.2;?;6
7.2;0.63;0.0;1.9;E;14.0;38.0;0.99675;3.37;medium;9.0;red;6
8.2;1.0;0.09;2.3;E;7.0;37.0;0.99685;3.32;medium;9.0;red;6
8.9;0.635;0.37;1.7;C;5.0;62.0;0.9971;3.0;high;9.3;red;5
12.0;0.38;0.56;2.1;C;6.0;24.0;0.99925;3.14;high;10.9;red;6
7.7;0.58;0.1;1.8;D;28.0;109.0;0.99565;3.08;medium;9.8;red;6
15.0;0.21;0.44;2.2;C;10.0;24.0;1.00005;3.07;high;9.2;red;7
15.0;0.21;0.44;2.2;C;10.0;24.0;1.00005;3.07;high;9.2;?;7
7.3;0.66;0.0;2.0;C;6.0;23.0;0.9983;3.61;high;9.9;red;6
7.1;0.68;0.07;1.9;D;16.0;51.0;0.99685;3.38;medium;9.5;red;5
8.2;0.6;0.17;2.3;B;11.0;73.0;0.9963;3.2;medium;9.3;red;5
7.7;0.53;0.06;1.7;B;9.0;39.0;0.99615;3.35;medium;9.8;red;6
7.3;0.66;0.0;2.0;C;6.0;23.0;0.9983;3.61;high;9.9;red;6
10.8;0.32;0.44;1.6;C;16.0;37.0;0.9985;3.22;high;10.0;red;6
7.1;0.6;0.0;1.8;C;16.0;34.0;0.9972;3.47;high;9.9;red;6
11.1;0.35;0.48;3.1;D;5.0;21.0;0.9986;3.17;medium;10.5;red;5
7.7;0.775;0.42;1.9;E;8.0;86.0;0.9959;3.23;medium;9.5;red;5
7.1;0.6;0.0;1.8;C;16.0;34.0;0.9972;3.47;high;9.9;red;6
8.0;0.57;0.23;3.2;E;17.0;119.0;0.99675;3.26;medium;9.3;red;5
9.4;0.34;0.37;2.2;E;5.0;13.0;0.998;3.22;high;9.2;red;5
6.6;0.695;0.0;2.1;C;12.0;56.0;0.9968;3.49;high;9.2;red;5
7.7;0.41;0.76;1.8;C;8.0;45.0;0.9968;?;high;9.4;red;5
10.0;0.31;0.47;2.6;C;14.0;33.0;0.99965;3.36;high;10.5;red;7
7.9;0.33;0.23;1.7;C;18.0;45.0;0.99625;3.29;high;9.3;red;5
7.0;0.975;0.04;2.0;E;12.0;67.0;0.99565;3.35;medium;9.4;red;4
8.0;0.52;0.03;1.7;E;10.0;35.0;0.99575;3.34;medium;10.0;red;5
7.9;0.37;0.23;1.8;C;23.0;49.0;0.9963;3.28;high;9.3;red;5
12.5;0.56;0.49;2.4;C;5.0;27.0;0.9999;3.08;high;10.9;red;5
11.8;0.26;0.52;1.8;C;6.0;10.0;0.9968;3.2;high;10.2;red;7
8.1;0.87;0.0;3.3;C;26.0;61.0;1.00025;3.6;high;9.8;red;4
7.9;0.35;0.46;3.6;C;15.0;37.0;0.9973;3.35;high;12.8;red;8
6.9;0.54;0.04;3.0;C;7.0;27.0;0.9987;3.69;high;9.4;red;6
11.5;0.18;0.51;4.0;C;4.0;23.0;0.9996;3.28;high;10.1;red;6
7.9;0.545;0.06;4.0;C;27.0;61.0;0.9965;3.36;high;10.7;red;6
11.5;0.18;0.51;4.0;C;4.0;23.0;0.9996;3.28;high;10.1;?;6
10.9;0.37;0.58;4.0;C;17.0;65.0;0.99935;3.22;high;10.1;red;5
8.4;0.715;0.2;2.4;C;10.0;38.0;0.99735;3.31;high;9.4;red;5
7.5;0.65;0.18;7.0;C;27.0;94.0;0.99915;3.38;high;9.4;red;5
7.9;0.545;0.06;4.0;C;27.0;61.0;0.9965;3.36;high;10.7;red;6
6.9;0.54;0.04;3.0;C;7.0;27.0;0.9987;3.69;high;9.4;red;6
11.5;0.18;0.51;4.0;C;4.0;23.0;0.9996;3.28;high;10.1;red;6
10.3;0.32;0.45;6.4;C;5.0;13.0;0.9976;3.23;high;12.6;red;8
8.9;0.4;0.32;5.6;C;10.0;47.0;0.9991;3.38;high;10.5;?;7
11.4;0.26;0.44;3.6;C;6.0;19.0;0.9986;?;high;9.3;?;6
7.7;0.27;0.68;3.5;C;5.0;10.0;0.9972;?;high;9.9;red;7
7.6;0.52;0.12;3.0;E;12.0;53.0;0.9971;3.36;medium;9.1;red;5
8.9;0.4;0.32;5.6;C;10.0;47.0;0.9991;3.38;high;10.5;red;7
9.9;0.59;0.07;3.4;C;32.0;71.0;1.00015;3.31;high;9.8;red;5
9.9;0.59;0.07;3.4;C;32.0;71.0;1.00015;3.31;high;9.8;red;5
12.0;0.45;0.55;2.0;C;25.0;49.0;0.9997;3.1;high;10.3;red;6
7.5;0.4;0.12;3.0;C;29.0;53.0;0.9967;3.37;high;10.3;red;6
8.7;0.52;0.09;2.5;C;20.0;49.0;0.9976;3.34;high;10.6;red;7
11.6;0.42;0.53;3.3;C;33.0;98.0;1.001;?;high;9.2;red;5
8.7;0.52;0.09;2.5;C;20.0;49.0;0.9976;3.34;high;10.6;red;7
11.0;0.2;0.48;2.0;C;6.0;18.0;0.9979;3.3;high;10.5;red;5
10.4;0.55;0.23;2.7;C;18.0;48.0;0.9994;3.22;high;10.3;?;6
6.9;0.36;0.25;2.4;E;5.0;16.0;0.9964;3.41;medium;10.1;red;6
13.3;0.34;0.52;3.2;C;17.0;53.0;1.0014;3.05;high;9.5;red;6
10.8;0.5;0.46;2.5;C;5.0;27.0;1.0001;?;high;9.5;red;5
10.6;0.83;0.37;2.6;D;26.0;70.0;0.9981;3.16;medium;9.9;red;5
7.1;0.63;0.06;2.0;C;8.0;29.0;0.99855;3.67;high;9.6;red;5
7.2;0.65;0.02;2.3;C;5.0;31.0;0.9993;3.67;high;9.7;red;5
6.9;0.67;0.06;2.1;C;8.0;33.0;0.99845;3.68;high;9.6;red;5
7.5;0.53;0.06;2.6;E;20.0;44.0;0.9965;3.38;medium;10.7;red;6
11.1;0.18;0.48;1.5;C;7.0;15.0;0.9973;3.22;high;10.1;red;6
8.3;0.705;0.12;2.6;C;12.0;28.0;0.9994;3.51;high;10.0;red;5
7.4;0.67;0.12;1.6;D;5.0;21.0;0.996;3.39;medium;9.5;red;5
8.4;0.65;0.6;2.1;D;12.0;90.0;0.9973;3.2;medium;9.2;red;5
10.3;0.53;0.48;2.5;E;6.0;25.0;0.9998;3.12;medium;9.3;?;6
